RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-08-31,num_restaurant,num_bank,num_fast_food,num_cafe,num_place_of_worship,num_school,num_bicycle_rental,has_features
69777,1778,28214,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2012.793737816764,425,28,283,94,60,28,25,True
74654,1781,38116,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,1219.625,152,11,87,22,946,264,73,True
97575,1783,94121,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3176.696549064969,1681,188,397,722,139,74,118,True
89989,1784,73170,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Cleveland County,1544.034090909091,179,27,99,46,448,111,1,True
84617,1785,60615,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1764.0315264770618,1999,204,903,711,933,295,865,True
96451,1794,91606,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2997.192513368984,2034,191,1158,615,713,343,126,True
63630,1801,14609,zip,NY,NY,Rochester,"Rochester, NY",Monroe County,1359.7222222222222,128,10,24,22,17,41,3,True
72237,1806,32811,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,1676.8375350140057,185,21,186,58,62,27,1,True
91656,1810,77007,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,2016.5125535679583,817,118,684,183,930,76,41,True
94733,1819,85017,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1736.5833333333333,515,43,353,145,144,126,49,True
99557,1821,98087,zip,WA,WA,Lynnwood,"Seattle-Tacoma-Bellevue, WA",Snohomish County,2250.3129129129134,61,17,31,28,1,2,0,True
399671,1832,89183,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,1887.103736263736,203,32,141,39,162,71,20,True
58644,1834,02130,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,3180.081194372667,736,105,299,249,74,142,162,True
98523,1835,95973,zip,CA,CA,Chico,"Chico, CA",Butte County,1868.3657407407409,22,2,18,8,18,2,0,True
92305,1836,78209,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1521.9763440860215,328,24,342,76,605,166,65,True
78061,1842,46254,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1632.681170681171,329,28,204,73,235,130,7,True
92446,1855,78412,zip,TX,TX,Corpus Christi,"Corpus Christi, TX",Nueces County,1296.384531590414,55,6,40,9,86,73,0,True
78050,1857,46237,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1809.097435897436,329,28,204,73,235,130,7,True
78022,1868,46203,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1358.5357142857144,329,28,204,73,235,130,7,True
96172,1870,90604,zip,CA,CA,Whittier,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2220.833333333333,2,0,17,1,27,6,0,True
97988,1889,95120,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,4948.61111111111,684,88,509,239,80,45,65,True
97997,1892,95129,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,3358.3177387914234,684,88,509,239,80,45,65,True
74663,1894,38127,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,1045.8333333333333,152,11,87,22,946,264,73,True
91714,1926,77065,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1431.844934640523,817,118,684,183,930,76,41,True
94760,1927,85044,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1683.734730039608,515,43,353,145,144,126,49,True
95800,1931,89104,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,1506.077380952381,203,32,141,39,162,71,20,True
